32 9075.44 7450.12
48 13613.2 4548.15
64 17967.4 8788.97
96 27315.4 15474.6
128 36379.1 15001.2
192 53796.6 17976.1
256 71598.4 36363.4
384 107669 83766.8
512 142064 78922.5
768 213393 92073.5
1024 284129 132275
1536 421457 265483
2048 523183 232243
3072 795134 114548
4096 1.05581e+06 312964
6144 1.52532e+06 1.0443e+06
8192 1.85823e+06 1.32867e+06
12288 2.61948e+06 1.00687e+06
16384 3.35394e+06 1.95202e+06
24576 4.42691e+06 1.98897e+06
32768 5.35863e+06 3.13933e+06
49152 5.88083e+06 3.09889e+06
